Hostname,Serial number,OS version,Device type,Manufacturer,Model,Last seen,,
9037DVR001,System Serial Number,Windows 10,Workstation,ASUS,System Product Name,2023-08-22T07:00:00Z,,
9037DVR002,System Serial Number,Windows 10,Workstation,ASUS,System Product Name,2023-08-22T06:00:00Z,,
9900DVR001,System Serial Number,Windows 10,Workstation,ASUS,System Product Name,2023-08-22T06:00:00Z,,
Artbuying,XNVQFN7P2N,Monterey (12),Workstation,Apple Inc.,"Mac13,1",2023-08-22T07:00:00Z,,
ATLWSSINDF21,8CC8341VW2,Windows 10,Workstation,HP,HP ProDesk 400 G4 DM,2023-08-22T07:00:00Z,,Total Assets
ATLWSSINDH01,8CC8341VW8,Windows 10,Workstation,HP,HP ProDesk 400 G4 DM,2023-08-22T06:00:00Z,,25637
B5PHGH2,B5PHGH2,Windows 10,Workstation,Dell Inc.,Latitude 7480,2023-08-21T17:00:00Z,,
BB8,F5KQH0KQF694,Mojave (10.14),Workstation,Apple Inc.,"MacPro6,1",2023-08-22T06:00:00Z,,
CanonIPC850,To be filled by O.E.M.,Windows 10,Workstation,To be filled by O.E.M.,S5535,2023-08-22T06:00:00Z,,
CDHWSSINDV01,8CC8341VM1,Windows 10,Workstation,HP,HP ProDesk 400 G4 DM,2023-08-22T06:00:00Z,,
COLWBASECCP03,VMware-42 24 f6 ae cc 26 f3 87-f1 70 8f 6b ef a9 fa 33,Windows 10,Workstation,"VMware, Inc.","VMware7,1",2023-08-15T22:00:00Z,,
COLWBASECCT04,VMware-42 24 ec 5a ec dc c8 cc-f9 45 c9 86 2d 2f bf e4,Windows 10,Workstation,"VMware, Inc.","VMware7,1",2023-08-21T09:00:00Z,,
COLWEVDIHARP01,VMware-42 24 6d 32 bf 33 e1 f7-69 23 5f 65 ee 0c 18 d6,Windows 10,Workstation,"VMware, Inc.","VMware7,1",2023-08-11T18:47:30Z,,
COLWEVDIHART01,VMware-42 24 45 ba 7c b2 22 d9-c3 51 c8 a2 64 dd 99 86,Windows 10,Workstation,"VMware, Inc.","VMware7,1",2023-08-21T10:00:00Z,,
COLWEVDIHART01,VMware-42 24 45 ba 7c b2 22 d9-c3 51 c8 a2 64 dd 99 86,Windows 10,Workstation,"VMware, Inc.","VMware7,1",2023-08-21T06:00:00Z,,
COLWEVDIHART01,VMware-42 24 45 ba 7c b2 22 d9-c3 51 c8 a2 64 dd 99 86,Windows 10,Workstation,"VMware, Inc.","VMware7,1",2023-08-11T14:24:39Z,,
COLWEVDIITSDP01,VMware-42 0b 63 e8 16 13 89 25-cb 6c 51 57 cb d4 c0 bf,Windows 10,Workstation,"VMware, Inc.","VMware7,1",2023-08-11T17:00:00Z,,
COLWEVDIITSDT01,VMware-42 24 b7 fb eb c8 96 40-54 e4 9e 2b a3 f0 46 6b,Windows 10,Workstation,"VMware, Inc.","VMware7,1",2023-08-21T10:00:00Z,,
COLWEVDISLCP03,VMware-42 24 c7 b5 54 47 fc 13-00 cc 7a a6 0b 94 bb c0,Windows 10,Workstation,"VMware, Inc.","VMware7,1",2023-08-08T20:00:00Z,,
COLWEVDISLCP04,VMware-42 24 9f f6 ea 1e 41 1a-a8 7f 6f 03 0e 3f e4 bc,Windows 10,Workstation,"VMware, Inc.","VMware7,1",2023-08-08T20:00:00Z,,
COLWSSINDF11,MJ0K3M6T,Windows 10,Workstation,LENOVO,11DQS4GB00,2023-08-22T07:00:00Z,,
COLWSSINDF11,MJ0K3M6T,Windows 10,Workstation,LENOVO,11DQS4GB00,2023-08-17T20:00:00Z,,
