AppName,Category,Approved,POavailable,POnumber,Quantity,POOrderDate,TermStartdate,TermEnddate,POdescription,UnitPrice,TotalAmount,Comments
Microsoft Visual Studio 2019,Licensed,YES,PO available,11687497,187,05-Apr-19,,,Microsoft SHI Visual Studio Pro with MSDN for Infrastructure Portfolio,358,64440,
Microsoft Visual Studio 2017,Licensed,YES,PO available,,,,,,,,,
Microsoft Visual Studio components,Licensed,YES,,,,,,,,,,
McAfee,Licensed,YES,PO available,12255008,7500,21-Jun-24,26/06/24,25/06/25,McAfee Web Protection Suite,13.29,99675,
Adobe,Licensed,YES,PO available,12103128,353,23-Nov-22,30/11/22,29/11/25,Adobe Acrobat Pro DC Creative Cloud and SW,1811655,1811655,
Entrust IdentityGuard Soft Token,Licensed,YES,PO available,12084139,1,30-Sep-22,01/10/22,30/09/25,Entrust GetAccess,220456,220456,
Thycotic Agent,Licensed,YES,PO available,11837357,259,12-Feb-20,21/02/20,31/03/21,Security Secret Server for Privileged Users License,587.25,152097.75,not renewed
CrowdStrike Firmware Analysis,Licensed,YES,PO available,12074638,1,23-Aug-22,13/10/22,13/10/25,Falcon Endpoint Protection Premium Bundle,4314064.05,4314064.05,
CrowdStrike Sensor Platform,Licensed,YES,PO available,12074638,1,23-Aug-22,13/10/22,13/10/25,Falcon Endpoint Protection Premium Bundle,4314064.05,4314064.05,
CrowdStrike Device Control,Licensed,YES,PO available,12074638,1,23-Aug-22,13/10/22,13/10/25,Falcon Endpoint Protection Premium Bundle,4314064.05,4314064.05,
CrowdStrike Windows Sensor,Licensed,YES,PO available,12074638,1,23-Aug-22,13/10/22,13/10/25,Falcon Endpoint Protection Premium Bundle,4314064.05,4314064.05,
Thycotic Local Security Agent,Licensed,YES,PO available,11837357,259,12-Feb-20,21/02/20,31/03/21,Security Secret Server for Privileged Users License,587.25,152097.75,not renewed
Thycotic Application Control Agent,Licensed,YES,PO available,11837357,259,12-Feb-20,21/02/20,31/03/21,Security Secret Server for Privileged Users License,587.25,152097.75,not renewed
FlexNet Inventory Agent,Licensed,YES,PO available,11992735,8000,27-Oct-21,29/09/21,28/09/24,FlexNet Manager for Clients,110683.39,110683.39,
Rapid7 Insight Agent,Licensed,YES,PO available,12263088,25,28-Jul-24,15/08/24,14/08/25,Rapid7- Insight App Sec,34945,34945,
Check Point Security,Licensed,YES,PO available,12089631,1,17-Oct-22,02/11/22,01/11/24,Supplier Item:CPSB-NGTP-5600-2Y-HA,580117.86,580117.86,
OpenText HostExplorer 15,Licensed,YES,PO available,12124427,1,23-Feb-23,01/03/23,28/02/26,"OpenText Prime Protect Support, Secure Shell and Host Explorer",196301,196301,
OpenText Secure Shell 15,Licensed,YES,PO available,12124427,1,23-Feb-23,01/03/23,28/02/26,"OpenText Prime Protect Support, Secure Shell and Host Explorer",196301,196301,
Rockwell Automation,Licensed,NO,,,,,,,,,,
Cisco Software,Licensed,YES,PO available,12254985,1,21-Jun-24,01/07/24,30/06/25,"CompuCom IntelliCare - Data Centers, Stores & Data Center Software -Term: 7/1/24 - 6/30/25",1656377.16,1656377.16,
AutoDesk,Licensed,YES,PO available,12001806,1,24-Nov-21,21/01/22,21/01/25,Architecture Engineering & Construction (3 YR Renewal to contract #110002457556),205931.12,205931.12,
Microsoft Visio,Licensed,YES,PO available,11742746,550,30-Jul-19,,,Microsoft Visio Standard 2019,198,108900,
1E Software,Licensed,YES,PO available,12261946,1,19-Jul-24,24/07/24,23/07/25,App and Patch Deploy - Stores/IBO Devices (Quote 00013435)- Term 7/24/2024 - 7/23/2025,123800,123800,
OpenText HostExplorer 14,Licensed,YES,PO available,12124427,1,23-Feb-23,01/03/23,28/02/26,"OpenText Prime Protect Support, Secure Shell and Host Explorer",196301,196301,
Snagit,Licensed,YES,PO available,10689682,,,,,,,,
iManage,Licensed,YES,Vendor available,,,,,,,,,
JustEnough Client,Licensed,YES,Vendor available,,,,,,,,,
