Application,General_Name,Category,Approved,PO_number,Quantity,PO_Order_Date,Term_Start_date,Term_End_date,Unit_Price,Total_Amount
.NET Android Templates (x64),Microsoft .NET,Freeware,,,,,,,,
.NET Core SDK 1.1.12 (x64),Microsoft .NET,Freeware,,,,,,,,
.NET Data Provider for Teradata 14.00.0.0,Microsoft .NET,Freeware,,,,,,,,
.NET Data Provider for Teradata 14.00.0.1,Microsoft .NET,Freeware,,,,,,,,
.NET Data Provider for Teradata 14.11.0.1,Microsoft .NET,Freeware,,,,,,,,
.NET Data Provider for Teradata 15.11.0.1,Microsoft .NET,Freeware,,,,,,,,
.NET Data Provider for Teradata 16.10,Microsoft .NET,Freeware,,,,,,,,
.NET MAUI SDK (x64),Microsoft .NET,Freeware,,,,,,,,
.NET MAUI Templates (x64),Microsoft .NET,Freeware,,,,,,,,
.NET Reactor version 6.9.0.0,Microsoft .NET,Freeware,,,,,,,,
@box/cli,@box/cli,Freeware,,,,,,,,
1.2.0,1.2.0,Freeware,,,,,,,,
1099 Pro 2014 Enterprise Edition,1099 Pro Software,Licensed,YES,12196752,1,2023-10-12,2023-10-25,2024-10-24,1112,1112
1099 Pro 2018 Enterprise Edition,1099 Pro Software,Licensed,YES,12196752,1,2023-10-12,2023-10-25,2024-10-24,1112,1112
1099 Pro 2019 Enterprise Edition,1099 Pro Software,Licensed,YES,12196752,1,2023-10-12,2023-10-25,2024-10-24,1112,1112
1099 Pro 2020 Edition,1099 Pro Software,Licensed,YES,12196752,1,2023-10-12,2023-10-25,2024-10-24,1112,1112
1099 Pro 2021,1099 Pro Software,Licensed,YES,12196752,1,2023-10-12,2023-10-25,2024-10-24,1112,1112
1099 Pro 2022,1099 Pro Software,Licensed,YES,12196752,1,2023-10-12,2023-10-25,2024-10-24,1112,1112
1099 Pro 2023,1099 Pro Software,Licensed,YES,12196752,1,2023-10-12,2023-10-25,2024-10-24,1112,1112
1732 IO-Link Module Profile,IO Link Module,Freeware,,,,,,,,
1734 IO-Link Module Profiles,IO Link Module,Freeware,,,,,,,,
1791ES-ID2SSIR Module Profile,Rockwell Automation,Licensed,NO,,,,,,,
1E Client x64,1E Software,Licensed,YES,12261946,1,2024-07-19,2024-07-24,2025-07-23,123800,123800
1E Nomad Branch Admin Extensions,1E Software,Licensed,YES,12261946,1,2024-07-19,2024-07-24,2025-07-23,123800,123800
1E NomadBranch,1E Software,Licensed,YES,12261946,1,2024-07-19,2024-07-24,2025-07-23,123800,123800
1E NomadBranch x64,1E Software,Licensed,YES,12261946,1,2024-07-19,2024-07-24,2025-07-23,123800,123800
1E PXE Lite Local,1E Software,Licensed,YES,12261946,1,2024-07-19,2024-07-24,2025-07-23,123800,123800
3D Viewer,3D Viewer,Image,,,,,,,,
3ware Disk Management Tools,3ware Disk Management Tools,Licensed,NO,,,,,,,
450L Safety Light Curtain,Rockwell Automation,Licensed,NO,,,,,,,
64 Bit HP BiDi Channel Components Installer,HP Software,Image,,,,,,,,
64 Bit HP CIO Components Installer,HP Software,Image,,,,,,,,
7-Zip 18.05 (x64),7-Zip,Freeware,,,,,,,,
7-Zip 19.00 (x64),7-Zip,Freeware,,,,,,,,
7-Zip 20.00 alpha (x64),7-Zip,Freeware,,,,,,,,
7-Zip 21.07 (x64),7-Zip,Freeware,,,,,,,,
7-Zip 22.00 (x64),7-Zip,Freeware,,,,,,,,
7-Zip 22.01 (x64 edition),7-Zip,Freeware,,,,,,,,
7-Zip 22.01 (x64),7-Zip,Freeware,,,,,,,,
7-Zip 23.00 (x64),7-Zip,Freeware,,,,,,,,
7-Zip 23.01 (x64 edition),7-Zip,Freeware,,,,,,,,
7-Zip 23.01 (x64),7-Zip,Freeware,,,,,,,,
7-Zip 9.20 (x64 edition),7-Zip,Freeware,,,,,,,,
8GadgetPack,8GadgetPack,Freeware,,,,,,,,
9000 M2 Series Programming Software,9000 M2 Series Pro,Freeware,,,,,,,,
ABCpdf .NET 11.3 x64,Microsoft .NET,Freeware,,,,,,,,
ABS PDF Install,ABS PDF Install,Licensed,NO,,,,,,,
ACA & MEP 2019 Object Enabler,AutoDesk,Licensed,YES,12001806,1,2021-11-24,2022-01-21,2025-01-21,205931.12,205931.12
